,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,missing_joint_probabilities,F1Score,F1Score
,crl_root,crl_hips__C,crl_spine__C,crl_spine01__C,crl_shoulder__L,crl_arm__L,crl_foreArm__L,crl_hand__L,crl_neck__C,crl_Head__C,crl_eye__L,crl_eye__R,crl_shoulder__R,crl_arm__R,crl_foreArm__R,crl_hand__R,crl_thigh__R,crl_leg__R,crl_foot__R,crl_toe__R,crl_toeEnd__R,crl_thigh__L,crl_leg__L,crl_foot__L,crl_toe__L,crl_toeEnd__L,end,best
96,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.8421541452407837,0.8268847465515137
97,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0.8546057343482971,0.8565632700920105
98,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0.810992956161499,0.8192121982574463
99,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0.8545706272125244,0.8629752397537231
100,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0.8544844388961792,0.8440481424331665
101,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0.856764554977417,0.8755818605422974
102,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0.7835205793380737,0.8161890506744385
103,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0.8441685438156128,0.8445795774459839
104,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0.8015764951705933,0.8438140153884888
105,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0.7385099530220032,0.7510930299758911
106,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.8377120494842529,0.8460222482681274
107,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0.796387791633606,0.796387791633606
108,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0.8286181688308716,0.850109338760376
109,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0.8000673055648804,0.8603094816207886
110,1,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0.7736021876335144,0.7967079877853394
111,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0.8378035426139832,0.8556787967681885
112,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0.8255319595336914,0.8408793210983276
113,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0.7907669544219971,0.8187621831893921
114,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0.7692458033561707,0.762299656867981
115,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0.8578718900680542,0.8664720058441162
116,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0.8352321982383728,0.8522048592567444
117,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0.816067099571228,0.7996089458465576
118,1,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0.8780391216278076,0.8885055780410767
119,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,0.848857045173645,0.8518747091293335
120,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0.8653027415275574,0.8660616278648376
121,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0.8114310503005981,0.8622331619262695
122,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0.837202787399292,0.8404872417449951
123,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0.7541286945343018,0.7680940628051758
124,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.7254042625427246,0.7255619764328003
125,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0.8368923664093018,0.8368923664093018
126,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0.8516472578048706,0.8372509479522705
127,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0.8555554747581482,0.8680263757705688
128,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0.8639276027679443,0.857367753982544
129,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0.8152828216552734,0.7924084663391113
130,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.841989278793335,0.8713840842247009
131,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0.8489022254943848,0.8433340787887573
132,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0.8829922676086426,0.8854547142982483
